AI,AI-101,查核各項投資是否是否進行可行性評估，並呈請核准。
AI,AI-101,查核投資評估計劃是否經決策會議討論其可行性，且是否經既定核決權限後，才由投資經辦單位據以執行。 
AI,AI-101,查核重大投資計劃是否呈報董事會通過。
AI,AI-102,查核取得或處分之交易手續是否完備。       
AI,AI-102,查核取得或處分價款之日期是否合理。       
AI,AI-102,查核交易之原始憑證是否妥為保存。        
AI,AI-102,查核金融資產投資、採權益法之長期股權、投資性不動產投資及從事衍生性金融商品交易之取得(處分)是否依規定程序辦理並經核決權限核准。        
AI,AI-102,查核非到期處分之金融資產投資，其處分理由及是否經適當核准。       
AI,AI-102,查核投資若發生成本與效益與原投資計劃不符之情事，是否適當處理。     
AI,AI-102,查核採權益法之股權投資若有公司法第369條之8規定是否依相關法令規定完備手續。     
AI,AI-102,查核會計處理方式是否符合規定，且會計記錄是否完備且適當保存。   
AI,AI-103,查核取得及處分投資資產之交易，是否依規定辦理公告、申報。        
AI,AI-103,查核如有從事衍生性商品交易之情事是否併同每月營運情形辦理公告及申報。      
AI,AI-103,查核估價報告內容是否依規定記載。        
AI,AI-104,查核投資明細彙總表之相關記錄是否完整，並且即時更新。      
AI,AI-104,查核保險箱是否由管理單位專責人員保管，有價證券領取是否依核准之「有價證券領取單」辦理。     
AI,AI-104,查核投資之保管及記錄人員是否由不同人擔任，並不得互為替代人員。     
AI,AI-104,查核取得(處分)資產保管及抵押作業是否統一列冊建檔，另財會單位之相關帳冊是否詳實記載備忘。       
AI,AI-104,查核資產提供質押時，是否取得對方保管之證明並將收據妥善保管。      
AI,AI-104,抽查「有價證券領取單」是否編號列管。   
AI,AI-105,實地盤點庫存證券，並核驗所有權是否確屬公司。      
AI,AI-105,經實地盤點之結果，根據有價證券盤點實際名稱、張數、號數、票面金額等，編列查核工作底稿。     
AI,AI-105,根據實地盤點結果，與保管人之「保管清冊」查核，如有不符，應查明原因。      
AI,AI-105,查核會計人員是否確實依核准之盤差處理，予以調整入帳。      
AI,AI-106,依據投資目的及所具之控制權，查核其入帳基礎是否適當。      
AI,AI-106,投資執行單位收到被投資公司發放之現金股利或股票股利，是否詳述於相關明細彙總表。     
AI,AI-106,應按權益法評價之長期股權投資，是否依規定取得被投資公司結算之報表，據以認列投資損益。      
AI,AI-106,所得稅結算申報時，對取得被投資公司現金股利及股票股利是否依所得稅法規定辦理之。     
AI,AI-106,對於各被投資公司投資損益之認列應查明是否符合一般公認會計原則。     
AI,AI-106,財會部對取得之股利憑單與帳載股利收入是否調節相符；若有不符是否追查原因並調整之。        
AI,AI-106,查明入帳基礎，注意其應計利息是否均已適當列帳並按期收取。  
AI,AI-107,查核股權或債券投資，財會部是否依性質據實核對並編製傳票入帳；投資收益之認列是否依國際會計準則等相關之規定入帳。     
AI,AI-107,查核財會部是否於被投資公司現金股利之除息日，即認列投資收益入帳。        
AI,AI-107,查核財會部是否於被投資公司股票股利之除權日，註記所增加之股權，並按加權平均法重新計算每股平均單位成本。     
AI,AI-107,查核編製之傳票是否經經辦人員、主管人員及相關核決權限簽章負責。     
AI,AI-108,查核投資差異分析是否確實執行並予以檢討。        
AI,AI-108,查核投資資金之使用與原訂計劃是否相符，有無中途變更用途之情況。     
AI,AI-108,查核投資經辦單位是否取得被投資公司之財務報表作為效益評估，俾供核決權限決策參考之依據。     
AI,AI-201,查核交易商品應符合「取得或處分資產處理程序」規範之交易種類。      
AI,AI-201,查核從事衍生性商品交易之權責應予以適當劃分，並經適當核准。       
AI,AI-201,查核衍生性商品交易若發生超限之情事應呈總經理核准。       
AI,AI-201,查核衍生性商品交易若發生損失之金額達到預先設立之部位時，應即向董事會報告並採取必要之因應措施。     
AI,AI-201,查核會計處理方式應符合規定，且會計記錄應完備且適當保存。        
AI,AI-201,查核財會部應確實建立備查簿。      
AI,AI-201,查核衍生性商品交易是否依規定公告申報。     